Student ID,Name,LongName,Age,Gender,Height(cm),Weight(lbs),Born,Day Joined,Month Joined,Year Joined,Marital Status,FavouriteMovie,Movie Duration,Genre,Credit Amount($),Car Make,Car Model,Skill Level
141154,Zulqarnain Haider,Zulqarnain Haider,33,Male,169.78,159,1993,01,Jul,04,single,Dick Johnson Is Dead,90 min,Documentaries,1169,Ford,Kuga,1
141335,Zulqarnain,Zulqarnain,21,Female,187.48,183,1968,10,Jul,18,div/dep/mar,Ganglands,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",5951,Hyundai,i10,1
141890,Zubair Watto,Zubair Watto,29,Male,187.48,192,1981,16,Jul,14,single,Midnight Mass,1 Season,"TV Dramas, TV Horror, TV Mysteries",2096,Audi,Q4,0
141984,Zubair Malik,Zubair Malik,37,Male,179.94,154,2000,30,Aug,15,single,Confessions of an Invisible Girl,91 min,"Children & Family Movies, Comedies",6819,Honda,CR-V,1
142069,Zohaib Shera,Zohaib Shera,21,Male,174.86,150,1998,03,Aug,17,single,Sankofa,125 min,"Dramas, Independent Movies, International Movies",4870,Kia,Sportage,1
144087,Zohaib Khan,Zohaib Khan,29,Male,182.4,176,2010,01,Jul,14,single,The Great British Baking Show,9 Seasons,"British TV Shows, Reality TV",9055,Honda,Civic,0
144148,Zohaib Ahmed,Zohaib Ahmed,35,Male,177.4,161,1996,01,Jul,18,single,The Starling,104 min,"Comedies, Dramas",5971,Hyundai,STARIA,1
145064,Zia Shahzad,Zia Mohammad Shahzad,33,Male,190.02,201,1990,19,Jul,18,single,Motu Patlu in the Game of Zones,87 min,"Children & Family Movies, Comedies, Music & Musicals",6948,Hyundai,KONA,2
145188,Zia-ul-Qamar,Zia-ul-Qamar,23,Male,174.86,157,1983,01,Jul,17,div/sep,Je Suis Karl,127 min,"Dramas, International Movies",3059,Ford,Fiesta,0
145994,Zia-ul-Haq,Zia-ul-Haq,37,Male,174.86,152,2014,01,Jul,16,mar/wid,Motu Patlu in Wonderland,76 min,"Children & Family Movies, Music & Musicals",2361,Dacia,Sandero,2
